id,sinav_turu,yil,konu,alt_konu,soru_tipi,zorluk,soru_metin,secenek_A,secenek_B,secenek_C,secenek_D,secenek_E,dogru_cevap,kaynak_turu,gorsel_bagimli,text_input,stratify_col
228,LGS,2025,Kareköklü ifadeler,Tam Sayı / Özel Tanımlar,Hesaplama,Orta,Aşağıdakilerden hangisi irrasyoneldir?,1,√2,√4,³√8,10/3,B,Kitap,yok,"[SORU] Aşağıdakilerden hangisi irrasyoneldir?
[A] 1
[B] √2
[C] √4
[D] ³√8
[E] 10/3",Tam Sayı / Özel Tanımlar_Hesaplama
115,LGS,2022,Kareköklü İfadeler,Problem Çözme,Problem,Orta,"Dönme dolapta Ali 12m, Kuzey 4m yükseklikte. Çınar ikisinin arasında. Çınar'ın yüksekliği hangisi olabilir?",3√5,2√15,4√5,7√3,8√2,C,MEB,destekleyici,"[SORU] Dönme dolapta Ali 12m, Kuzey 4m yükseklikte. Çınar ikisinin arasında. Çınar'ın yüksekliği hangisi olabilir?
[A] 3√5
[B] 2√15
[C] 4√5
[D] 7√3
[E] 8√2",Problem Çözme_Problem
64,LGS,2020,Kareköklü İfadeler,Rasyonelleştirme,Hesaplama,Orta,1/(√2+1) + 1/(√3+√2) + 1/(√4+√3) işlemi kaça eşittir?,1,√2,2,√2−1,2+√2,A,Kitap,yok,"[SORU] 1/(√2+1) + 1/(√3+√2) + 1/(√4+√3) işlemi kaça eşittir?
[A] 1
[B] √2
[C] 2
[D] √2−1
[E] 2+√2",Rasyonelleştirme_Hesaplama
8,LGS,2020,Kareköklü İfadeler,Denklemler,Hesaplama,Orta,(x)^(√x) = (√x)^x denklemini sağlayan x değerlerinin toplamı kaçtır?,1,2,3,4,5,E,Örnek,yok,"[SORU] (x)^(√x) = (√x)^x denklemini sağlayan x değerlerinin toplamı kaçtır?
[A] 1
[B] 2
[C] 3
[D] 4
[E] 5",Denklemler_Hesaplama
49,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,√2 / (√2 + 1 / (√2 − 1 / √2)) işleminin sonucu kaçtır?,1/√2,1/2,1,√2,2,B,Kitap,yok,"[SORU] √2 / (√2 + 1 / (√2 − 1 / √2)) işleminin sonucu kaçtır?
[A] 1/√2
[B] 1/2
[C] 1
[D] √2
[E] 2",İşlem ve Sadeleştirme_Hesaplama
630,LGS,2019,Kareköklü İfadeler,İşlem ve Sadeleştirme,Yorum,Orta,√18 + √8 işleminin sonucu aşağıdakilerden hangisidir?,√26,5√2,3√2,7√2,,B,MEB,yok,"[SORU] √18 + √8 işleminin sonucu aşağıdakilerden hangisidir?
[A] √26
[B] 5√2
[C] 3√2
[D] 7√2",İşlem ve Sadeleştirme_Yorum
483,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Yorum,Kolay,I. √1 + √1 = √2 II. √(100 + 121) = 21 III. 7√5 − 7√5 = 0 IV. 4√3 + 5√3 − √3 = 8√3 Yukarıdaki eşitliklerden hangileri doğrudur?,I ve III.,II ve III.,II ve IV.,III ve IV.,,D,MEB,yok,"[SORU] I. √1 + √1 = √2 II. √(100 + 121) = 21 III. 7√5 − 7√5 = 0 IV. 4√3 + 5√3 − √3 = 8√3 Yukarıdaki eşitliklerden hangileri doğrudur?
[A] I ve III.
[B] II ve III.
[C] II ve IV.
[D] III ve IV.",İşlem ve Sadeleştirme_Yorum
92,LGS,2025,Kareköklü İfadeler,Problem Çözme,Problem,Orta,Yukarıdaki ³√4 birimlik demir parçaları birleştirilerek yandaki ⁶√28 birim uzunluğunda gövdesi olan ve ⁶√16 birim uzunluğunda yatay parçası olan elektrik direği yapılacaktır. Buna göre bu parçalardan kaç tane gereklidir?,17,18,19,20,21,B,Deneme,bagimli,"[SORU] Yukarıdaki ³√4 birimlik demir parçaları birleştirilerek yandaki ⁶√28 birim uzunluğunda gövdesi olan ve ⁶√16 birim uzunluğunda yatay parçası olan elektrik direği yapılacaktır. Buna göre bu parçalardan kaç tane gereklidir?
[A] 17
[B] 18
[C] 19
[D] 20
[E] 21
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
286,LGS,2025,Kareköklü ifadeler,Rasyonelleştirme,Hesaplama,Kolay,(3 / √(5/2) − √(2/5)) : √30 işlemi kaça eşittir?,√2/2,√3/3,1,√3,√5,B,Kitap,yok,"[SORU] (3 / √(5/2) − √(2/5)) : √30 işlemi kaça eşittir?
[A] √2/2
[B] √3/3
[C] 1
[D] √3
[E] √5",Rasyonelleştirme_Hesaplama
457,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,Her birinin alanı 18 cm² olan iki eş dikdörtgenin uzun kenarları çakıştırıldığında bir kare oluşuyor. Bu karenin bir kenarının uzunluğu kaç santimetredir?,6,9,12,18,,A,MEB,yok,"[SORU] Her birinin alanı 18 cm² olan iki eş dikdörtgenin uzun kenarları çakıştırıldığında bir kare oluşuyor. Bu karenin bir kenarının uzunluğu kaç santimetredir?
[A] 6
[B] 9
[C] 12
[D] 18",Alan ve Geometri_Problem
406,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,Aşağıdakilerin hangisindeki sayıların çarpımı √24 eder?,2 ve √6,3 ve √8,√2 ve 6,√3 ve 8,,A,MEB,yok,"[SORU] Aşağıdakilerin hangisindeki sayıların çarpımı √24 eder?
[A] 2 ve √6
[B] 3 ve √8
[C] √2 ve 6
[D] √3 ve 8",İşlem ve Sadeleştirme_Hesaplama
14,LGS,2020,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Problem,Zor,M iki basamaklı doğal sayı. √(5M−1) − √(6M−5) = 5 ise M’nin alabileceği kaç doğal sayı değeri vardır?,225,325,395,425,455,D,Deneme,yok,"[SORU] M iki basamaklı doğal sayı. √(5M−1) − √(6M−5) = 5 ise M’nin alabileceği kaç doğal sayı değeri vardır?
[A] 225
[B] 325
[C] 395
[D] 425
[E] 455",Tam Sayı / Özel Tanımlar_Problem
458,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,Alanı 64 cm² ile 144 cm² arasında olan bir karenin çevresi santimetre cinsinden aşağıdakilerden hangisi olabilir?,28,43,51,56,,B,MEB,yok,"[SORU] Alanı 64 cm² ile 144 cm² arasında olan bir karenin çevresi santimetre cinsinden aşağıdakilerden hangisi olabilir?
[A] 28
[B] 43
[C] 51
[D] 56",Alan ve Geometri_Yorum
134,LGS,2022,Kareköklü İfadeler,Denklemler,Hesaplama,Orta,"Çubuklar A, B, C. B=C√2, A=B√2. Toplam 12 çubuk uzunluğu 12+48√2. Kaç C çubuğu var?",2,4,6,8,10,B,MEB,yok,"[SORU] Çubuklar A, B, C. B=C√2, A=B√2. Toplam 12 çubuk uzunluğu 12+48√2. Kaç C çubuğu var?
[A] 2
[B] 4
[C] 6
[D] 8
[E] 10",Denklemler_Hesaplama
119,LGS,2022,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Problem,Zor,"Duatlon yarışı. 4 sporcunun etap süreleri (√8, √50, √32 vb.). Toplam süresi en az olan kazanır. Kim kazanmıştır?",Harun,Erdem,Mustafa,Bülent,Hakan,A,MEB,yok,"[SORU] Duatlon yarışı. 4 sporcunun etap süreleri (√8, √50, √32 vb.). Toplam süresi en az olan kazanır. Kim kazanmıştır?
[A] Harun
[B] Erdem
[C] Mustafa
[D] Bülent
[E] Hakan",Karşılaştırma ve Sıralama_Problem
6,LGS,2020,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Orta,"x = √35, y = √17. Buna göre x+y hangi aralıktadır?","(7, 15/2)","(15/2, 17/2)","(17/2, 19/2)","(19/2, 21/2)","(21/2, 11)",D,Örnek,yok,"[SORU] x = √35, y = √17. Buna göre x+y hangi aralıktadır?
[A] (7, 15/2)
[B] (15/2, 17/2)
[C] (17/2, 19/2)
[D] (19/2, 21/2)
[E] (21/2, 11)",Karşılaştırma ve Sıralama_Yorum
663,LGS,2019,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Orta,Yukarıdaki sayı doğrusunda A ile gösterilen sayı aşağıdakilerden hangisi olabilir?,√150,√155,√158,√168,,C,MEB,bagimli,"[SORU] Yukarıdaki sayı doğrusunda A ile gösterilen sayı aşağıdakilerden hangisi olabilir?
[A] √150
[B] √155
[C] √158
[D] √168
[GÖRSEL] Bu soru görsele bağlıdır.",Yaklaşık Değer_Yorum
279,LGS,2025,Kareköklü ifadeler,Alan ve Geometri,Problem,Zor,Genişliği √3 metre olan özdeş arabalar 16 metre uzunluğunda bir alana her arabanın arasında bir metre boşluk kalacak şekilde yan yana park edilecektir. Buna göre bu alana kaç araba park edebiliriz?,4,5,6,7,8,C,Kitap,destekleyici,"[SORU] Genişliği √3 metre olan özdeş arabalar 16 metre uzunluğunda bir alana her arabanın arasında bir metre boşluk kalacak şekilde yan yana park edilecektir. Buna göre bu alana kaç araba park edebiliriz?
[A] 4
[B] 5
[C] 6
[D] 7
[E] 8",Alan ve Geometri_Problem
139,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,5√4 - 2√9 + √25 işlemi kaça eşittir?,8,30,10,11,9,E,Kitap,yok,"[SORU] 5√4 - 2√9 + √25 işlemi kaça eşittir?
[A] 8
[B] 30
[C] 10
[D] 11
[E] 9",İşlem ve Sadeleştirme_Hesaplama
75,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,³√2 − 1 · ³√(3 + 2√2) işleminin sonucu kaçtır?,1,√2,³√2,√3,2√3,A,Örnek,yok,"[SORU] ³√2 − 1 · ³√(3 + 2√2) işleminin sonucu kaçtır?
[A] 1
[B] √2
[C] ³√2
[D] √3
[E] 2√3",İşlem ve Sadeleştirme_Hesaplama
604,LGS,2024,Kareköklü İfadeler,İşlem ve Sadeleştirme,Yorum,Orta,√363 − √75 − √27 işleminin sonucu aşağıdakilerden hangisidir?,2√3,3√3,4√3,5√3,,B,MEB,yok,"[SORU] √363 − √75 − √27 işleminin sonucu aşağıdakilerden hangisidir?
[A] 2√3
[B] 3√3
[C] 4√3
[D] 5√3",İşlem ve Sadeleştirme_Yorum
688,LGS,2019,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Zor,"Yukarıda dört yayın açıldıklarındaki uzunlukları santimetre cinsinden verilmiştir. Buna göre, açıldığında en uzun olan yay aşağıdakilerden hangisidir?",I,II,III,IV,,B,MEB,bagimli,"[SORU] Yukarıda dört yayın açıldıklarındaki uzunlukları santimetre cinsinden verilmiştir. Buna göre, açıldığında en uzun olan yay aşağıdakilerden hangisidir?
[A] I
[B] II
[C] III
[D] IV
[GÖRSEL] Bu soru görsele bağlıdır.",Karşılaştırma ve Sıralama_Yorum
249,LGS,2025,Kareköklü ifadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,√(1 − 9/25) · √(9 + 16) işleminin sonucu kaçtır?,1/2,1,4,2√5,5,C,Kitap,yok,"[SORU] √(1 − 9/25) · √(9 + 16) işleminin sonucu kaçtır?
[A] 1/2
[B] 1
[C] 4
[D] 2√5
[E] 5",İşlem ve Sadeleştirme_Hesaplama
293,LGS,2024,Kareköklü ifadeler,Alan ve Geometri,Problem,Orta,İç içe geçen iki farklı dondurma külahı ile oluşturulan yığınların yükseklikleri eşitleniyor. Buna göre görseldeki külahlardan kaç tane kullanılmıştır?,16,17,21,22,-,D,Deneme,bagimli,"[SORU] İç içe geçen iki farklı dondurma külahı ile oluşturulan yığınların yükseklikleri eşitleniyor. Buna göre görseldeki külahlardan kaç tane kullanılmıştır?
[A] 16
[B] 17
[C] 21
[D] 22
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
548,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,Kağıttan kesilen eşkenar üçgenlerle oluşturulan logoda mavi kısmın çevresi verilmiştir. Logonun alanı kaç cm²'dir?,36√2,24√6,72√2,48√6,,C,MEB,bagimli,"[SORU] Kağıttan kesilen eşkenar üçgenlerle oluşturulan logoda mavi kısmın çevresi verilmiştir. Logonun alanı kaç cm²'dir?
[A] 36√2
[B] 24√6
[C] 72√2
[D] 48√6
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
3,LGS,2020,Kareköklü İfadeler,Denklemler,Hesaplama,Orta,√(x+3) − √(x−1) = M. √(x+3) + √(x−1) işleminin M cinsinden değeri nedir?,1/√M,2/M,4/M,M−1,M²,C,Örnek,yok,"[SORU] √(x+3) − √(x−1) = M. √(x+3) + √(x−1) işleminin M cinsinden değeri nedir?
[A] 1/√M
[B] 2/M
[C] 4/M
[D] M−1
[E] M²",Denklemler_Hesaplama
22,LGS,2020,Kareköklü İfadeler,Denklemler,Hesaplama,Orta,-4 < x < -1. (√(x+4))² − (√(x+1))² + (√(-x))² + ³√(x³) = 1. x kaçtır?,-3,-5/2,-2,-3/2,-4/3,A,Örnek,yok,"[SORU] -4 < x < -1. (√(x+4))² − (√(x+1))² + (√(-x))² + ³√(x³) = 1. x kaçtır?
[A] -3
[B] -5/2
[C] -2
[D] -3/2
[E] -4/3",Denklemler_Hesaplama
584,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,"Personel kartı. Resim alanı (kare, kenarı 2√5) kartın %40'ı. Kart kenarları tam sayı. Kartın çevresi kaç cm?",20,30,34,54,,B,MEB,bagimli,"[SORU] Personel kartı. Resim alanı (kare, kenarı 2√5) kartın %40'ı. Kart kenarları tam sayı. Kartın çevresi kaç cm?
[A] 20
[B] 30
[C] 34
[D] 54
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
656,LGS,2020,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Orta,√82 sayısı aşağıdaki hangi sayıya daha yakındır?,9,10,8,7,,A,MEB,yok,"[SORU] √82 sayısı aşağıdaki hangi sayıya daha yakındır?
[A] 9
[B] 10
[C] 8
[D] 7",Yaklaşık Değer_Yorum
588,LGS,2025,Kareköklü İfadeler,Problem Çözme,Problem,Kolay,"Alanı 28 m² olan kare bahçeye 2 sıra tel. Tel fiyat tarifesi var (20m altı 15TL, 20-39m 14.5TL vb.). Telin metresi kaç lira olur?","13,5",14,"14,5",15,,B,MEB,destekleyici,"[SORU] Alanı 28 m² olan kare bahçeye 2 sıra tel. Tel fiyat tarifesi var (20m altı 15TL, 20-39m 14.5TL vb.). Telin metresi kaç lira olur?
[A] 13,5
[B] 14
[C] 14,5
[D] 15",Problem Çözme_Problem
326,LGS,2024,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,"Alanları 128, 98 ve 50 cm² olan kareler şekildeki gibi yerleştirilmiştir. Buna göre |GC|+|BM| kaç cm'dir?",2√2,3√2,4√2,5√2,,C,Deneme,bagimli,"[SORU] Alanları 128, 98 ve 50 cm² olan kareler şekildeki gibi yerleştirilmiştir. Buna göre |GC|+|BM| kaç cm'dir?
[A] 2√2
[B] 3√2
[C] 4√2
[D] 5√2
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
673,LGS,2019,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Orta,Uzunluğu 11 m olan bir halatın bir ucundan √59 m uzunluğunda bir parça kesilmiştir. Buna göre kalan parçanın metre cinsinden uzunluğu hangi iki doğal sayı arasındadır?,2 ile 3,3 ile 4,4 ile 5,5 ile 6,,B,MEB,destekleyici,"[SORU] Uzunluğu 11 m olan bir halatın bir ucundan √59 m uzunluğunda bir parça kesilmiştir. Buna göre kalan parçanın metre cinsinden uzunluğu hangi iki doğal sayı arasındadır?
[A] 2 ile 3
[B] 3 ile 4
[C] 4 ile 5
[D] 5 ile 6",Yaklaşık Değer_Yorum
171,LGS,2025,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Kolay,³√250 + ³√54 - ³√16 = a . ³√2 ise a kaçtır?,5,6,7,8,9,B,Kitap,yok,"[SORU] ³√250 + ³√54 - ³√16 = a . ³√2 ise a kaçtır?
[A] 5
[B] 6
[C] 7
[D] 8
[E] 9",Üslü ve Köklü İfadeler_Hesaplama
336,LGS,2020,Kareköklü İfadeler,Alan ve Geometri,Hesaplama,Kolay,Alanı 16 cm² olan bir karenin çevresi kaç santimetredir?,8,12,16,32,,C,Örnek,yok,"[SORU] Alanı 16 cm² olan bir karenin çevresi kaç santimetredir?
[A] 8
[B] 12
[C] 16
[D] 32",Alan ve Geometri_Hesaplama
339,LGS,2020,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,√79 sayısı hangi iki ardışık tam sayı arasındadır?,6 ile 7,7 ile 8,8 ile 9,9 ile 10,,C,Örnek,yok,"[SORU] √79 sayısı hangi iki ardışık tam sayı arasındadır?
[A] 6 ile 7
[B] 7 ile 8
[C] 8 ile 9
[D] 9 ile 10",Yaklaşık Değer_Yorum
697,LGS,2019,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,√189 sayısının yaklaşık değerinin hesaplanabilmesi için aşağıdakilerden hangisinin yaklaşık değerinin bilinmesi gerekir?,√3,√7,√14,√21,,B,MEB,yok,"[SORU] √189 sayısının yaklaşık değerinin hesaplanabilmesi için aşağıdakilerden hangisinin yaklaşık değerinin bilinmesi gerekir?
[A] √3
[B] √7
[C] √14
[D] √21",Yaklaşık Değer_Yorum
444,LGS,2025,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Hesaplama,Orta,15 ile 75 arasında kaç tam kare sayı vardır?,3,4,5,6,,C,MEB,yok,"[SORU] 15 ile 75 arasında kaç tam kare sayı vardır?
[A] 3
[B] 4
[C] 5
[D] 6",Tam Sayı / Özel Tanımlar_Hesaplama
684,LGS,2019,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Kolay,Aşağıdakilerden hangisinin değeri diğerlerinden farklıdır?,6√75,10√45,15√20,30√5,,D,MEB,yok,"[SORU] Aşağıdakilerden hangisinin değeri diğerlerinden farklıdır?
[A] 6√75
[B] 10√45
[C] 15√20
[D] 30√5",Karşılaştırma ve Sıralama_Yorum
424,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Zor,Yukarıda verilen şeklin alanı kaç santimetrekaredir?,445,360,255,240,,A,MEB,bagimli,"[SORU] Yukarıda verilen şeklin alanı kaç santimetrekaredir?
[A] 445
[B] 360
[C] 255
[D] 240
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
24,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,3 − √3/(√3 − 1) + (2 + √2)/(√2 + 1) − 2/√2 işleminin sonucu kaçtır?,1,√2,2,√3,√3 + √2,D,Deneme,yok,"[SORU] 3 − √3/(√3 − 1) + (2 + √2)/(√2 + 1) − 2/√2 işleminin sonucu kaçtır?
[A] 1
[B] √2
[C] 2
[D] √3
[E] √3 + √2",İşlem ve Sadeleştirme_Hesaplama
345,LGS,2020,Kareköklü İfadeler,Kök Sadeleştirme,Hesaplama,Kolay,Aşağıdakilerden hangisi yanlıştır?,√50 = 5√2,√98 = 7√2,√27 = 3√3,√24 = 3√6,,D,Örnek,yok,"[SORU] Aşağıdakilerden hangisi yanlıştır?
[A] √50 = 5√2
[B] √98 = 7√2
[C] √27 = 3√3
[D] √24 = 3√6",Kök Sadeleştirme_Hesaplama
364,LGS,2020,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,"Kenar uzunlukları 8√5 cm ve 6√5 cm olan dikdörtgen şeklindeki bir odanın tabanı, kenar uzunluğu √5 cm olan kare şeklindeki fayanslarla tamamen kaplanacaktır. Bunun için en az kaç tane fayansa ihtiyaç vardır?",60,48,30,24,,B,Deneme,yok,"[SORU] Kenar uzunlukları 8√5 cm ve 6√5 cm olan dikdörtgen şeklindeki bir odanın tabanı, kenar uzunluğu √5 cm olan kare şeklindeki fayanslarla tamamen kaplanacaktır. Bunun için en az kaç tane fayansa ihtiyaç vardır?
[A] 60
[B] 48
[C] 30
[D] 24",Alan ve Geometri_Problem
683,LGS,2019,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,"Bir karenin alanı, kenar uzunlukları 12 cm ve 18 cm olan bir dikdörtgenin alanına eşittir. Bu karenin bir kenarının uzunluğu kaç santimetredir?",6√6,4√6,3√3,6√3,,A,MEB,yok,"[SORU] Bir karenin alanı, kenar uzunlukları 12 cm ve 18 cm olan bir dikdörtgenin alanına eşittir. Bu karenin bir kenarının uzunluğu kaç santimetredir?
[A] 6√6
[B] 4√6
[C] 3√3
[D] 6√3",Alan ve Geometri_Problem
315,LGS,2024,Kareköklü İfadeler,Problem Çözme,Problem,Orta,Bir fotoğrafın kısa kenarı 10 cm olarak ölçülüyor ve fotoğraf 2 kat büyütülüyor. Buna göre yeni fotoğrafın boyu aşağıdakilerden hangisi olabilir?,√50,7√2,10√3,8√6,-,B,Deneme,bagimli,"[SORU] Bir fotoğrafın kısa kenarı 10 cm olarak ölçülüyor ve fotoğraf 2 kat büyütülüyor. Buna göre yeni fotoğrafın boyu aşağıdakilerden hangisi olabilir?
[A] √50
[B] 7√2
[C] 10√3
[D] 8√6
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
678,LGS,2019,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Orta,a ve b pozitif tam sayılar olmak üzere √(a²·b³) ifadesi aşağıdakilerden hangisine eşittir?,a·b√a,a·b√b,a·b²,a²·b,,B,MEB,yok,"[SORU] a ve b pozitif tam sayılar olmak üzere √(a²·b³) ifadesi aşağıdakilerden hangisine eşittir?
[A] a·b√a
[B] a·b√b
[C] a·b²
[D] a²·b",Üslü ve Köklü İfadeler_Hesaplama
617,LGS,2021,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,İki farklı şeklin ölçülerine göre başlangıçtaki dikdörtgenin alanı kaçtır?,288,144,96,72,,B,MEB,bagimli,"[SORU] İki farklı şeklin ölçülerine göre başlangıçtaki dikdörtgenin alanı kaçtır?
[A] 288
[B] 144
[C] 96
[D] 72
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Yorum
304,LGS,2024,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,Uzunluğu 16√5 cm olan bir karton belirli aralıklarla kesilip yeni bir şekil oluşturuluyor. Oluşan şeklin ortasında kalan boş bölgenin alanı kaç santimetrekaredir?,50,75,100,125,-,B,Deneme,bagimli,"[SORU] Uzunluğu 16√5 cm olan bir karton belirli aralıklarla kesilip yeni bir şekil oluşturuluyor. Oluşan şeklin ortasında kalan boş bölgenin alanı kaç santimetrekaredir?
[A] 50
[B] 75
[C] 100
[D] 125
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
62,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Zor,1/(√2 + ⁶√2) · (∛2 + ⁴√2)/⁶√2 işleminin sonucu kaçtır?,1,√2,∛2,⁴√2,⁶√2,A,Kitap,yok,"[SORU] 1/(√2 + ⁶√2) · (∛2 + ⁴√2)/⁶√2 işleminin sonucu kaçtır?
[A] 1
[B] √2
[C] ∛2
[D] ⁴√2
[E] ⁶√2",İşlem ve Sadeleştirme_Hesaplama
66,LGS,2020,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Zor,√2 sayısının virgülden sonraki ilk basamağı kaçtır?,1,2,3,4,5,D,Deneme,yok,"[SORU] √2 sayısının virgülden sonraki ilk basamağı kaçtır?
[A] 1
[B] 2
[C] 3
[D] 4
[E] 5",Yaklaşık Değer_Yorum
130,LGS,2022,Kareköklü İfadeler,Problem Çözme,Problem,Zor,"Koşu parkuru. A noktası √128, B noktası 4√2 uzaklıkta. Toplam yol √512. C, B'ye yakın. C'nin bitişe uzaklığı?",√108,√72,√24,√32,48,E,MEB,bagimli,"[SORU] Koşu parkuru. A noktası √128, B noktası 4√2 uzaklıkta. Toplam yol √512. C, B'ye yakın. C'nin bitişe uzaklığı?
[A] √108
[B] √72
[C] √24
[D] √32
[E] 48
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
61,LGS,2020,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Orta,³√6 · ⁶√250 / √10 kesri kaça eşittir?,³√3,³√6,⁶√8,³√2,√2,A,Deneme,yok,"[SORU] ³√6 · ⁶√250 / √10 kesri kaça eşittir?
[A] ³√3
[B] ³√6
[C] ⁶√8
[D] ³√2
[E] √2",Üslü ve Köklü İfadeler_Hesaplama
682,LGS,2019,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,Sayı doğrusu üzerinde 3√19 sayısına en yakın olan doğal sayı kaçtır?,12,13,14,15,,C,MEB,yok,"[SORU] Sayı doğrusu üzerinde 3√19 sayısına en yakın olan doğal sayı kaçtır?
[A] 12
[B] 13
[C] 14
[D] 15",Yaklaşık Değer_Yorum
696,LGS,2019,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,"√3'ün yaklaşık değeri 1,7 olduğuna göre √48'in yaklaşık değeri kaçtır?","3,4","6,8","10,2","27,2",,C,MEB,yok,"[SORU] √3'ün yaklaşık değeri 1,7 olduğuna göre √48'in yaklaşık değeri kaçtır?
[A] 3,4
[B] 6,8
[C] 10,2
[D] 27,2",Yaklaşık Değer_Yorum
551,LGS,2025,Kareköklü İfadeler,Problem Çözme,Problem,Orta,Koşu parkuru üzerinde verilen uzaklıklara göre C noktasının bitişe uzaklığı aşağıdakilerden hangisi olabilir?,√108,√72,√48,√32,,C,MEB,bagimli,"[SORU] Koşu parkuru üzerinde verilen uzaklıklara göre C noktasının bitişe uzaklığı aşağıdakilerden hangisi olabilir?
[A] √108
[B] √72
[C] √48
[D] √32
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
277,LGS,2025,Kareköklü ifadeler,Üslü ve Köklü İfadeler,Hesaplama,Orta,√2 · ³√5 · ⁶√5 işlemi kaça eşittir?,³√5,³√10,√10,5,10,C,Kitap,yok,"[SORU] √2 · ³√5 · ⁶√5 işlemi kaça eşittir?
[A] ³√5
[B] ³√10
[C] √10
[D] 5
[E] 10",Üslü ve Köklü İfadeler_Hesaplama
229,LGS,2025,Kareköklü ifadeler,Üslü ve Köklü İfadeler,Hesaplama,Zor,"a ve b sayıları 1 den büyük tam sayılar olmak üzere, √x = a√b için √x = a (b minimum olsun) ve √x = a (b maximum olsun). Buna göre, √80/√( ) + √450/√( ) kaç eşittir?",5,7,9,10,12,B,Kitap,yok,"[SORU] a ve b sayıları 1 den büyük tam sayılar olmak üzere, √x = a√b için √x = a (b minimum olsun) ve √x = a (b maximum olsun). Buna göre, √80/√( ) + √450/√( ) kaç eşittir?
[A] 5
[B] 7
[C] 9
[D] 10
[E] 12",Üslü ve Köklü İfadeler_Hesaplama
540,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,Çevresi 44√5 cm olan dikdörtgen masa kesilip cam ekleniyor. Cam kısmın çevresi kaç cm'dir?,16√5,36√5,42√5,52√5,,D,MEB,bagimli,"[SORU] Çevresi 44√5 cm olan dikdörtgen masa kesilip cam ekleniyor. Cam kısmın çevresi kaç cm'dir?
[A] 16√5
[B] 36√5
[C] 42√5
[D] 52√5
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
